dataset,method,metric,scale,n,mean,std,baseline_scale,baseline_mean,delta_vs_baseline,pct_change_vs_baseline
3d_torus_surface_traj,ecomann,bidirectional_chamfer,1.5,7,0.5994400467191424,0.11885787210068484,0.2,1.31465060370309,-0.7152105569839476,-54.40309044618792
3d_torus_surface_traj,ecomann,bidirectional_chamfer,3.0,7,0.5994400467191424,0.11885787210068484,0.2,1.31465060370309,-0.7152105569839476,-54.40309044618792
3d_torus_surface_traj,ecomann,pred_recall,0.2,7,0.6735449735449734,0.27444271091871747,0.2,0.6735449735449734,0.0,0.0
3d_torus_surface_traj,ecomann,pred_recall,0.5,7,0.5689770723104056,0.12210649869791182,0.2,0.6735449735449734,-0.10456790123456783,-15.525006546216277
3d_torus_surface_traj,ecomann,pred_recall,0.75,7,0.6421516754850087,0.06374097137563924,0.2,0.6735449735449734,-0.031393298059964714,-4.660905996334118
3d_torus_surface_traj,ecomann,pred_recall,1.0,7,0.8078483245149911,0.07644321282885556,0.2,0.6735449735449734,0.13430335097001767,19.939774810159737
3d_torus_surface_traj,ecomann,pred_recall,1.5,7,0.8664726631393298,0.09202898031167692,0.2,0.6735449735449734,0.19292768959435636,28.643623985336493
3d_torus_surface_traj,ecomann,pred_recall,3.0,7,0.8664726631393298,0.09202898031167692,0.2,0.6735449735449734,0.19292768959435636,28.643623985336493
3d_torus_surface_traj,ecomann,pred_precision,0.2,7,0.06522042410714286,0.04287534527770011,0.2,0.06522042410714286,0.0,0.0
3d_torus_surface_traj,ecomann,pred_precision,0.5,7,0.07847377232142858,0.037561138208487214,0.2,0.06522042410714286,0.013253348214285712,20.320855614973258
3d_torus_surface_traj,ecomann,pred_precision,0.75,7,0.10027204241071429,0.04746337262424551,0.2,0.06522042410714286,0.035051618303571425,53.74331550802138
3d_torus_surface_traj,ecomann,pred_precision,1.0,7,0.07659040178571429,0.032677081667483135,0.2,0.06522042410714286,0.011369977678571425,17.433155080213897
3d_torus_surface_traj,ecomann,pred_precision,1.5,7,0.099609375,0.03759078586442575,0.2,0.06522042410714286,0.03438895089285714,52.72727272727271
3d_torus_surface_traj,ecomann,pred_precision,3.0,7,0.099609375,0.03759078586442575,0.2,0.06522042410714286,0.03438895089285714,52.72727272727271
3d_torus_surface_traj,ecomann,pred_FPrate,0.2,7,0.8091259609926613,0.12892177621098072,0.2,0.8091259609926613,0.0,0.0
3d_torus_surface_traj,ecomann,pred_FPrate,0.5,7,0.6140186495551202,0.1267562118712121,0.2,0.8091259609926613,-0.19510731143754112,-24.113342154808297
3d_torus_surface_traj,ecomann,pred_FPrate,0.75,7,0.5994174947521964,0.09901918930577418,0.2,0.8091259609926613,-0.2097084662404649,-25.917901087141974
3d_torus_surface_traj,ecomann,pred_FPrate,1.0,7,0.6802851438559995,0.11586317688515059,0.2,0.8091259609926613,-0.12884081713666184,-15.923456093115076
3d_torus_surface_traj,ecomann,pred_FPrate,1.5,7,0.5150039813255202,0.08815574207595878,0.2,0.8091259609926613,-0.29412197966714115,-36.350579989585675
3d_torus_surface_traj,ecomann,pred_FPrate,3.0,7,0.5150039813255202,0.08815574207595878,0.2,0.8091259609926613,-0.29412197966714115,-36.350579989585675
3d_torus_surface_traj,ecomann,train_seconds,0.2,7,0.8238843195805592,0.32340097763943126,0.2,0.8238843195805592,0.0,0.0
