[run] method=delta dataset=2d_ellipse seed=173
[train] method=delta ep= 450/2000 | lr=3.00e-04 | loss=0.049984 | on=0.010297 | off=0.013229
[train] method=delta ep= 500/2000 | lr=3.00e-04 | loss=0.046567 | on=0.010539 | off=0.012009
[train] method=delta ep= 550/2000 | lr=3.00e-04 | loss=0.036375 | on=0.009708 | off=0.008889
[train] method=delta ep= 600/2000 | lr=3.00e-04 | loss=0.029859 | on=0.009303 | off=0.006852
[train] method=delta ep= 650/2000 | lr=3.00e-04 | loss=0.026030 | on=0.007638 | off=0.006131
[train] method=delta ep= 700/2000 | lr=3.00e-04 | loss=0.019160 | on=0.005706 | off=0.004484
[train] method=delta ep= 750/2000 | lr=3.00e-04 | loss=0.021496 | on=0.004796 | off=0.005567
[train] method=delta ep= 800/2000 | lr=3.00e-04 | loss=0.015158 | on=0.004594 | off=0.003522
[train] method=delta ep= 850/2000 | lr=3.00e-04 | loss=0.014532 | on=0.003914 | off=0.003540
[train] method=delta ep= 900/2000 | lr=3.00e-04 | loss=0.013634 | on=0.003931 | off=0.003235
[train] method=delta ep= 950/2000 | lr=3.00e-04 | loss=0.010915 | on=0.003298 | off=0.002539
[train] method=delta ep=1000/2000 | lr=3.00e-04 | loss=0.012237 | on=0.003056 | off=0.003060
[train] method=delta ep=1050/2000 | lr=3.00e-04 | loss=0.012838 | on=0.002657 | off=0.003394
[train] method=delta ep=1100/2000 | lr=3.00e-04 | loss=0.011629 | on=0.002777 | off=0.002951
[train] method=delta ep=1150/2000 | lr=3.00e-04 | loss=0.012385 | on=0.002416 | off=0.003323
[train] method=delta ep=1200/2000 | lr=3.00e-04 | loss=0.009802 | on=0.002036 | off=0.002589
[train] method=delta ep=1250/2000 | lr=3.00e-04 | loss=0.007761 | on=0.001899 | off=0.001954
[train] method=delta ep=1300/2000 | lr=3.00e-04 | loss=0.008194 | on=0.001640 | off=0.002185
[train] method=delta ep=1350/2000 | lr=3.00e-04 | loss=0.009663 | on=0.001578 | off=0.002695
[train] method=delta ep=1400/2000 | lr=3.00e-04 | loss=0.007481 | on=0.001387 | off=0.002031
[train] method=delta ep=1450/2000 | lr=3.00e-04 | loss=0.004848 | on=0.001027 | off=0.001274
[train] method=delta ep=1500/2000 | lr=3.00e-04 | loss=0.005137 | on=0.001042 | off=0.001365
[train] method=delta ep=1550/2000 | lr=3.00e-04 | loss=0.006203 | on=0.000948 | off=0.001752
[train] method=delta ep=1600/2000 | lr=3.00e-04 | loss=0.004813 | on=0.000802 | off=0.001337
