[run] method=eikonal dataset=2d_ellipse seed=173
[train] method=eikonal ep= 900/2000 | lr=1.50e-04 | f1=0.0215 | |grad f1|=1.0329 | ortho=0.00000
[train] method=eikonal ep= 950/2000 | lr=1.50e-04 | f1=0.0212 | |grad f1|=1.0436 | ortho=0.00000
[train] method=eikonal ep=1000/2000 | lr=1.50e-04 | f1=0.0207 | |grad f1|=1.0289 | ortho=0.00000
[train] method=eikonal ep=1050/2000 | lr=7.50e-05 | f1=0.0204 | |grad f1|=1.0329 | ortho=0.00000
[train] method=eikonal ep=1100/2000 | lr=7.50e-05 | f1=0.0197 | |grad f1|=1.0273 | ortho=0.00000
[train] method=eikonal ep=1150/2000 | lr=7.50e-05 | f1=0.0199 | |grad f1|=1.0339 | ortho=0.00000
[train] method=eikonal ep=1200/2000 | lr=7.50e-05 | f1=0.0198 | |grad f1|=1.0331 | ortho=0.00000
[train] method=eikonal ep=1250/2000 | lr=7.50e-05 | f1=0.0197 | |grad f1|=1.0325 | ortho=0.00000
[train] method=eikonal ep=1300/2000 | lr=7.50e-05 | f1=0.0193 | |grad f1|=1.0352 | ortho=0.00000
[train] method=eikonal ep=1350/2000 | lr=7.50e-05 | f1=0.0191 | |grad f1|=1.0370 | ortho=0.00000
[train] method=eikonal ep=1400/2000 | lr=7.50e-05 | f1=0.0185 | |grad f1|=1.0394 | ortho=0.00000
[train] method=eikonal ep=1450/2000 | lr=7.50e-05 | f1=0.0181 | |grad f1|=1.0310 | ortho=0.00000
[train] method=eikonal ep=1500/2000 | lr=7.50e-05 | f1=0.0185 | |grad f1|=1.0358 | ortho=0.00000
[train] method=eikonal ep=1550/2000 | lr=7.50e-05 | f1=0.0177 | |grad f1|=1.0384 | ortho=0.00000
[train] method=eikonal ep=1600/2000 | lr=7.50e-05 | f1=0.0177 | |grad f1|=1.0432 | ortho=0.00000
[train] method=eikonal ep=1650/2000 | lr=7.50e-05 | f1=0.0172 | |grad f1|=1.0381 | ortho=0.00000
[train] method=eikonal ep=1700/2000 | lr=7.50e-05 | f1=0.0170 | |grad f1|=1.0342 | ortho=0.00000
[train] method=eikonal ep=1750/2000 | lr=7.50e-05 | f1=0.0168 | |grad f1|=1.0326 | ortho=0.00000
[train] method=eikonal ep=1800/2000 | lr=7.50e-05 | f1=0.0167 | |grad f1|=1.0333 | ortho=0.00000
[train] method=eikonal ep=1850/2000 | lr=7.50e-05 | f1=0.0162 | |grad f1|=1.0343 | ortho=0.00000
[train] method=eikonal ep=1900/2000 | lr=7.50e-05 | f1=0.0156 | |grad f1|=1.0365 | ortho=0.00000
[train] method=eikonal ep=1950/2000 | lr=7.50e-05 | f1=0.0157 | |grad f1|=1.0414 | ortho=0.00000
[train] method=eikonal ep=2000/2000 | lr=7.50e-05 | f1=0.0149 | |grad f1|=1.0322 | ortho=0.00000
[eval] 2d_planar_arm_line_n2 | proj_dist=0.037105 | pred_recall=0.518248 | pred_FPrate=0.008588 | chamfer=0.046275 | gt->learned=0.008499 | learned->gt=0.037776 | space=workspace
/home/baiyu/PycharmProjects/equality_manofld/core/planner.py:839: UserWarning: FigureCanvasAgg is non-interactive, and thus cannot be shown
  plt.show()
saved: /home/baiyu/PycharmProjects/equality_manofld/outputs_unified/sweeps/eikonal_all_2d/eikonal/2d_planar_arm_line_n2_on_eikonal_planning_demo.png
[done] method=eikonal dataset=2d_planar_arm_line_n2 seed=173 proj_dist=0.037105 recall=0.518248 FPrate=0.008588
[run] method=eikonal dataset=2d_sparse_sine seed=173
[train] method=eikonal ep=   1/1200 | lr=2.00e-04 | f1=0.1011 | |grad f1|=0.0259 | ortho=0.00000
[train] method=eikonal ep=  50/1200 | lr=2.00e-04 | f1=0.2136 | |grad f1|=0.6801 | ortho=0.00000
[train] method=eikonal ep= 100/1200 | lr=2.00e-04 | f1=0.1339 | |grad f1|=0.7823 | ortho=0.00000
[train] method=eikonal ep= 150/1200 | lr=2.00e-04 | f1=0.0477 | |grad f1|=0.9330 | ortho=0.00000
[train] method=eikonal ep= 200/1200 | lr=2.00e-04 | f1=0.0239 | |grad f1|=0.9848 | ortho=0.00000
