[run] method=delta dataset=3d_0z_2d_discontinuous seed=173
[train] method=delta ep= 250/2000 | lr=3.00e-04 | loss=0.049594 | on=0.009927 | off=0.013222
[train] method=delta ep= 300/2000 | lr=3.00e-04 | loss=0.059666 | on=0.007771 | off=0.017298
[train] method=delta ep= 350/2000 | lr=3.00e-04 | loss=0.034004 | on=0.010197 | off=0.007936
[train] method=delta ep= 400/2000 | lr=3.00e-04 | loss=0.032767 | on=0.010326 | off=0.007480
[train] method=delta ep= 450/2000 | lr=3.00e-04 | loss=0.035860 | on=0.009516 | off=0.008781
[train] method=delta ep= 500/2000 | lr=3.00e-04 | loss=0.031414 | on=0.007046 | off=0.008123
[train] method=delta ep= 550/2000 | lr=3.00e-04 | loss=0.023092 | on=0.008131 | off=0.004987
[train] method=delta ep= 600/2000 | lr=3.00e-04 | loss=0.023800 | on=0.009045 | off=0.004918
[train] method=delta ep= 650/2000 | lr=3.00e-04 | loss=0.023828 | on=0.009702 | off=0.004709
[train] method=delta ep= 700/2000 | lr=3.00e-04 | loss=0.016862 | on=0.006932 | off=0.003310
[train] method=delta ep= 750/2000 | lr=3.00e-04 | loss=0.018535 | on=0.006533 | off=0.004000
[train] method=delta ep= 800/2000 | lr=3.00e-04 | loss=0.014495 | on=0.005174 | off=0.003107
[train] method=delta ep= 850/2000 | lr=3.00e-04 | loss=0.014505 | on=0.004380 | off=0.003375
[train] method=delta ep= 900/2000 | lr=3.00e-04 | loss=0.011480 | on=0.003931 | off=0.002516
[train] method=delta ep= 950/2000 | lr=3.00e-04 | loss=0.011120 | on=0.003977 | off=0.002381
[train] method=delta ep=1000/2000 | lr=3.00e-04 | loss=0.010000 | on=0.003129 | off=0.002290
[train] method=delta ep=1050/2000 | lr=3.00e-04 | loss=0.008905 | on=0.003356 | off=0.001850
[train] method=delta ep=1100/2000 | lr=3.00e-04 | loss=0.007676 | on=0.002966 | off=0.001570
[train] method=delta ep=1150/2000 | lr=3.00e-04 | loss=0.007863 | on=0.002090 | off=0.001924
[train] method=delta ep=1200/2000 | lr=3.00e-04 | loss=0.008112 | on=0.002920 | off=0.001731
[train] method=delta ep=1250/2000 | lr=3.00e-04 | loss=0.008416 | on=0.002581 | off=0.001945
[train] method=delta ep=1300/2000 | lr=3.00e-04 | loss=0.007618 | on=0.002850 | off=0.001589
[train] method=delta ep=1350/2000 | lr=3.00e-04 | loss=0.007374 | on=0.002109 | off=0.001755
[train] method=delta ep=1400/2000 | lr=3.00e-04 | loss=0.007380 | on=0.001869 | off=0.001837
[train] method=delta ep=1450/2000 | lr=3.00e-04 | loss=0.008084 | on=0.001839 | off=0.002082
[train] method=delta ep=1500/2000 | lr=3.00e-04 | loss=0.005599 | on=0.001449 | off=0.001383
[train] method=delta ep=1550/2000 | lr=3.00e-04 | loss=0.006220 | on=0.001676 | off=0.001515
[train] method=delta ep=1600/2000 | lr=3.00e-04 | loss=0.005418 | on=0.002281 | off=0.001046
[train] method=delta ep=1650/2000 | lr=3.00e-04 | loss=0.005113 | on=0.001658 | off=0.001152
[train] method=delta ep=1700/2000 | lr=3.00e-04 | loss=0.004370 | on=0.001476 | off=0.000965
[train] method=delta ep=1750/2000 | lr=3.00e-04 | loss=0.004668 | on=0.001315 | off=0.001118
[train] method=delta ep=1800/2000 | lr=3.00e-04 | loss=0.003827 | on=0.001395 | off=0.000811
[train] method=delta ep=1850/2000 | lr=3.00e-04 | loss=0.003199 | on=0.001175 | off=0.000675
[train] method=delta ep=1900/2000 | lr=3.00e-04 | loss=0.003180 | on=0.001123 | off=0.000686
[train] method=delta ep=1950/2000 | lr=3.00e-04 | loss=0.002870 | on=0.001243 | off=0.000542
[train] method=delta ep=2000/2000 | lr=3.00e-04 | loss=0.002618 | on=0.000716 | off=0.000634
[eval] 3d_0z_2d_looped_spiro | proj_dist=0.423552 | pred_recall=0.767442 | pred_FPrate=0.295511 | chamfer=0.451336 | gt->learned=0.027629 | learned->gt=0.423707 | space=data_space
[done] method=delta dataset=3d_0z_2d_looped_spiro seed=173 proj_dist=0.423552 recall=0.767442 FPrate=0.295511
[run] method=delta dataset=3d_0z_2d_noisy_sine seed=173
[train] method=delta ep=   1/2000 | lr=3.00e-04 | loss=0.429979 | on=0.001380 | off=0.142866
[train] method=delta ep=  50/2000 | lr=3.00e-04 | loss=0.269238 | on=0.062577 | off=0.068887
[train] method=delta ep= 100/2000 | lr=3.00e-04 | loss=0.194450 | on=0.053694 | off=0.046919
[train] method=delta ep= 150/2000 | lr=3.00e-04 | loss=0.220378 | on=0.049031 | off=0.057116
[train] method=delta ep= 200/2000 | lr=3.00e-04 | loss=0.068269 | on=0.022125 | off=0.015381
[train] method=delta ep= 250/2000 | lr=3.00e-04 | loss=0.028308 | on=0.011189 | off=0.005706
[train] method=delta ep= 300/2000 | lr=3.00e-04 | loss=0.040923 | on=0.010251 | off=0.010224
[train] method=delta ep= 350/2000 | lr=3.00e-04 | loss=0.029906 | on=0.010249 | off=0.006552
[train] method=delta ep= 400/2000 | lr=3.00e-04 | loss=0.036357 | on=0.011019 | off=0.008446
[train] method=delta ep= 450/2000 | lr=3.00e-04 | loss=0.029297 | on=0.010362 | off=0.006312
[train] method=delta ep= 500/2000 | lr=3.00e-04 | loss=0.036188 | on=0.010618 | off=0.008523
[train] method=delta ep= 550/2000 | lr=3.00e-04 | loss=0.029441 | on=0.009277 | off=0.006721
[train] method=delta ep= 600/2000 | lr=3.00e-04 | loss=0.025439 | on=0.008875 | off=0.005521
[train] method=delta ep= 650/2000 | lr=3.00e-04 | loss=0.021643 | on=0.008080 | off=0.004521
[train] method=delta ep= 700/2000 | lr=3.00e-04 | loss=0.021757 | on=0.006693 | off=0.005021
[train] method=delta ep= 750/2000 | lr=3.00e-04 | loss=0.021024 | on=0.008522 | off=0.004167
[train] method=delta ep= 800/2000 | lr=3.00e-04 | loss=0.017820 | on=0.007343 | off=0.003492
[train] method=delta ep= 850/2000 | lr=3.00e-04 | loss=0.016400 | on=0.005501 | off=0.003633
[train] method=delta ep= 900/2000 | lr=3.00e-04 | loss=0.013663 | on=0.004908 | off=0.002919
[train] method=delta ep= 950/2000 | lr=3.00e-04 | loss=0.012519 | on=0.004220 | off=0.002766
[train] method=delta ep=1000/2000 | lr=3.00e-04 | loss=0.010705 | on=0.003419 | off=0.002429
[train] method=delta ep=1050/2000 | lr=3.00e-04 | loss=0.010115 | on=0.003177 | off=0.002313
[train] method=delta ep=1100/2000 | lr=3.00e-04 | loss=0.008597 | on=0.002760 | off=0.001946
[train] method=delta ep=1150/2000 | lr=3.00e-04 | loss=0.008539 | on=0.002755 | off=0.001928
[train] method=delta ep=1200/2000 | lr=3.00e-04 | loss=0.008390 | on=0.003102 | off=0.001763
[train] method=delta ep=1250/2000 | lr=3.00e-04 | loss=0.007624 | on=0.002253 | off=0.001790
[train] method=delta ep=1300/2000 | lr=3.00e-04 | loss=0.011337 | on=0.002547 | off=0.002930
[train] method=delta ep=1350/2000 | lr=3.00e-04 | loss=0.008053 | on=0.002615 | off=0.001813
[train] method=delta ep=1400/2000 | lr=3.00e-04 | loss=0.006443 | on=0.002116 | off=0.001442
[train] method=delta ep=1450/2000 | lr=3.00e-04 | loss=0.006598 | on=0.002293 | off=0.001435
[train] method=delta ep=1500/2000 | lr=3.00e-04 | loss=0.006579 | on=0.002425 | off=0.001385
[train] method=delta ep=1550/2000 | lr=3.00e-04 | loss=0.006111 | on=0.002314 | off=0.001266
[train] method=delta ep=1600/2000 | lr=3.00e-04 | loss=0.005671 | on=0.001649 | off=0.001341
[train] method=delta ep=1650/2000 | lr=3.00e-04 | loss=0.006737 | on=0.001694 | off=0.001681
[train] method=delta ep=1700/2000 | lr=3.00e-04 | loss=0.005002 | on=0.001396 | off=0.001202
[train] method=delta ep=1750/2000 | lr=3.00e-04 | loss=0.004286 | on=0.001528 | off=0.000919
[train] method=delta ep=1800/2000 | lr=3.00e-04 | loss=0.003960 | on=0.001250 | off=0.000903
[train] method=delta ep=1850/2000 | lr=3.00e-04 | loss=0.003508 | on=0.001326 | off=0.000727
[train] method=delta ep=1900/2000 | lr=3.00e-04 | loss=0.003216 | on=0.001426 | off=0.000597
[train] method=delta ep=1950/2000 | lr=3.00e-04 | loss=0.002790 | on=0.001017 | off=0.000591
