[run] method=eikonal dataset=2d_ellipse seed=173
[train] method=eikonal ep=1900/2000 | lr=7.50e-05 | f1=0.0236 | |grad f1|=1.0334 | ortho=0.00000
[train] method=eikonal ep=1950/2000 | lr=7.50e-05 | f1=0.0238 | |grad f1|=1.0410 | ortho=0.00000
[train] method=eikonal ep=2000/2000 | lr=7.50e-05 | f1=0.0231 | |grad f1|=1.0323 | ortho=0.00000
[eval] 2d_planar_arm_line_n2 | proj_dist=0.047159 | pred_recall=0.518248 | pred_FPrate=0.020712 | chamfer=0.060443 | gt->learned=0.012862 | learned->gt=0.047580 | space=workspace
/home/baiyu/PycharmProjects/equality_manofld/core/planner.py:839: UserWarning: FigureCanvasAgg is non-interactive, and thus cannot be shown
  plt.show()
saved: /home/baiyu/PycharmProjects/equality_manofld/outputs_unified/sweeps/eikonal_all_2d/eikonal/2d_planar_arm_line_n2_on_eikonal_planning_demo.png
[done] method=eikonal dataset=2d_planar_arm_line_n2 seed=173 proj_dist=0.047159 recall=0.518248 FPrate=0.020712
[run] method=eikonal dataset=2d_sparse_sine seed=173
[train] method=eikonal ep=   1/1200 | lr=2.00e-04 | f1=0.0634 | |grad f1|=0.0257 | ortho=0.00000
[train] method=eikonal ep=  50/1200 | lr=2.00e-04 | f1=0.0876 | |grad f1|=0.1940 | ortho=0.00000
[train] method=eikonal ep= 100/1200 | lr=2.00e-04 | f1=0.1905 | |grad f1|=0.6166 | ortho=0.00000
[train] method=eikonal ep= 150/1200 | lr=2.00e-04 | f1=0.1797 | |grad f1|=0.6889 | ortho=0.00000
[train] method=eikonal ep= 200/1200 | lr=2.00e-04 | f1=0.1284 | |grad f1|=0.7819 | ortho=0.00000
[train] method=eikonal ep= 250/1200 | lr=2.00e-04 | f1=0.0420 | |grad f1|=0.9295 | ortho=0.00000
[train] method=eikonal ep= 300/1200 | lr=2.00e-04 | f1=0.0237 | |grad f1|=0.9733 | ortho=0.00000
[train] method=eikonal ep= 350/1200 | lr=2.00e-04 | f1=0.0208 | |grad f1|=0.9950 | ortho=0.00000
