[run] method=delta dataset=2d_ellipse seed=173
[train] method=delta ep=1700/2000 | lr=3.00e-04 | loss=0.005060 | on=0.001513 | off=0.003547
[train] method=delta ep=1750/2000 | lr=3.00e-04 | loss=0.003581 | on=0.000604 | off=0.002977
[train] method=delta ep=1800/2000 | lr=3.00e-04 | loss=0.004396 | on=0.000621 | off=0.003775
[train] method=delta ep=1850/2000 | lr=3.00e-04 | loss=0.009733 | on=0.000715 | off=0.009018
[train] method=delta ep=1900/2000 | lr=3.00e-04 | loss=0.013418 | on=0.000614 | off=0.012804
[train] method=delta ep=1950/2000 | lr=3.00e-04 | loss=0.008045 | on=0.000482 | off=0.007562
[train] method=delta ep=2000/2000 | lr=3.00e-04 | loss=0.005174 | on=0.000745 | off=0.004429
[eval] 2d_sparse_sine | proj_dist=0.074874 | pred_recall=0.490000 | pred_FPrate=0.016234 | chamfer=0.161819 | gt->learned=0.085824 | learned->gt=0.075995 | space=data_space
[done] method=delta dataset=2d_sparse_sine seed=173 proj_dist=0.074874 recall=0.490000 FPrate=0.016234
[run] method=delta dataset=2d_square seed=173
[train] method=delta ep=   1/2000 | lr=3.00e-04 | loss=0.109762 | on=0.004040 | off=0.105722
[train] method=delta ep=  50/2000 | lr=3.00e-04 | loss=0.082596 | on=0.016485 | off=0.066110
[train] method=delta ep= 100/2000 | lr=3.00e-04 | loss=0.026327 | on=0.010243 | off=0.016084
[train] method=delta ep= 150/2000 | lr=3.00e-04 | loss=0.023285 | on=0.008564 | off=0.014721
[train] method=delta ep= 200/2000 | lr=3.00e-04 | loss=0.023010 | on=0.008715 | off=0.014296
[train] method=delta ep= 250/2000 | lr=3.00e-04 | loss=0.022270 | on=0.008664 | off=0.013606
[train] method=delta ep= 300/2000 | lr=3.00e-04 | loss=0.023751 | on=0.008831 | off=0.014920
[train] method=delta ep= 350/2000 | lr=3.00e-04 | loss=0.020549 | on=0.008925 | off=0.011624
[train] method=delta ep= 400/2000 | lr=3.00e-04 | loss=0.018813 | on=0.008560 | off=0.010253
[train] method=delta ep= 450/2000 | lr=3.00e-04 | loss=0.019297 | on=0.008334 | off=0.010963
[train] method=delta ep= 500/2000 | lr=3.00e-04 | loss=0.014014 | on=0.007238 | off=0.006776
[train] method=delta ep= 550/2000 | lr=3.00e-04 | loss=0.012233 | on=0.006343 | off=0.005891
[train] method=delta ep= 600/2000 | lr=3.00e-04 | loss=0.013884 | on=0.004485 | off=0.009399
[train] method=delta ep= 650/2000 | lr=3.00e-04 | loss=0.008952 | on=0.003941 | off=0.005011
[train] method=delta ep= 700/2000 | lr=3.00e-04 | loss=0.007759 | on=0.003123 | off=0.004636
[train] method=delta ep= 750/2000 | lr=3.00e-04 | loss=0.007960 | on=0.003969 | off=0.003992
[train] method=delta ep= 800/2000 | lr=3.00e-04 | loss=0.008576 | on=0.002868 | off=0.005708
[train] method=delta ep= 850/2000 | lr=3.00e-04 | loss=0.007354 | on=0.002941 | off=0.004413
[train] method=delta ep= 900/2000 | lr=3.00e-04 | loss=0.007593 | on=0.003123 | off=0.004470
[train] method=delta ep= 950/2000 | lr=3.00e-04 | loss=0.007363 | on=0.002938 | off=0.004425
[train] method=delta ep=1000/2000 | lr=3.00e-04 | loss=0.006355 | on=0.002279 | off=0.004076
[train] method=delta ep=1050/2000 | lr=3.00e-04 | loss=0.006255 | on=0.002177 | off=0.004078
[train] method=delta ep=1100/2000 | lr=3.00e-04 | loss=0.006235 | on=0.002327 | off=0.003909
[train] method=delta ep=1150/2000 | lr=3.00e-04 | loss=0.005731 | on=0.002171 | off=0.003560
[train] method=delta ep=1200/2000 | lr=3.00e-04 | loss=0.005854 | on=0.001960 | off=0.003894
[train] method=delta ep=1250/2000 | lr=3.00e-04 | loss=0.005089 | on=0.001668 | off=0.003421
[train] method=delta ep=1300/2000 | lr=3.00e-04 | loss=0.004320 | on=0.001640 | off=0.002680
[train] method=delta ep=1350/2000 | lr=3.00e-04 | loss=0.004405 | on=0.001535 | off=0.002870
[train] method=delta ep=1400/2000 | lr=3.00e-04 | loss=0.003879 | on=0.001426 | off=0.002453
[train] method=delta ep=1450/2000 | lr=3.00e-04 | loss=0.004739 | on=0.001145 | off=0.003593
[train] method=delta ep=1500/2000 | lr=3.00e-04 | loss=0.003719 | on=0.001032 | off=0.002687
[train] method=delta ep=1550/2000 | lr=3.00e-04 | loss=0.002594 | on=0.000974 | off=0.001620
[train] method=delta ep=1600/2000 | lr=3.00e-04 | loss=0.002685 | on=0.000799 | off=0.001886
[train] method=delta ep=1650/2000 | lr=3.00e-04 | loss=0.002830 | on=0.000745 | off=0.002084
[train] method=delta ep=1700/2000 | lr=3.00e-04 | loss=0.002186 | on=0.000608 | off=0.001578
[train] method=delta ep=1750/2000 | lr=3.00e-04 | loss=0.002036 | on=0.000605 | off=0.001431
[train] method=delta ep=1800/2000 | lr=3.00e-04 | loss=0.002192 | on=0.000552 | off=0.001640
[train] method=delta ep=1850/2000 | lr=3.00e-04 | loss=0.001950 | on=0.000594 | off=0.001356
