method,dataset,seed,bidirectional_chamfer,eps_stop,eval_eps_used,gen_chamfer,gen_manifold_dist,gt_to_learned_mean,gt_to_learned_p95,learned_to_gt_mean,learned_to_gt_p95,n_gt,n_learned,pred_FPrate,pred_manifold_dist,pred_on_mean_v,pred_precision,pred_recall,proj_manifold_dist,proj_steps,proj_true_dist,proj_v_residual
delta,3d_planar_arm_line_n3,173,0.07242738455533981,0.06909208744764328,0.06909208744764328,,,0.006683597341179848,0.01600361056625843,0.06574378907680511,0.19514873623847961,1024.0,4096.0,0.04026335781210433,0.06087764352560043,0.0010708923218771815,0.40671641791044777,0.7414965986394558,0.06542348116636276,29.3515625,0.3651617169380188,0.0294415932148695
delta,3d_planar_arm_line_n3,271,0.20536532998085022,0.0710097998380661,0.0710097998380661,,,0.008618948981165886,0.018864156678318977,0.19674637913703918,0.9985253810882568,1024.0,4096.0,0.07076067728076826,0.16209623217582703,0.0012411032803356647,0.24731182795698925,0.6618705035971223,0.19647064805030823,29.19384765625,0.44243210554122925,0.03743116557598114
delta,3d_planar_arm_line_n3,509,0.08337770402431488,0.07147879898548126,0.07147879898548126,,,0.007728920318186283,0.020498253405094147,0.07564878463745117,0.30110490322113037,1024.0,4096.0,0.05683253346804749,0.1307481974363327,0.0011362009681761265,0.2946708463949843,0.6861313868613139,0.07529163360595703,29.690185546875,0.3844696283340454,0.023297306150197983
delta,3d_planar_arm_line_n3,877,0.08414280414581299,0.07200270891189575,0.07200270891189575,,,0.006315977778285742,0.013350838795304298,0.07782682776451111,0.3041769862174988,1024.0,4096.0,0.06892198939661702,0.11317742615938187,0.00108967290725559,0.24793388429752067,0.6666666666666666,0.07746947556734085,29.041259765625,0.3715042471885681,0.024036023765802383
delta,3d_planar_arm_line_n3,1123,0.10390084981918335,0.06863420456647873,0.06863420456647873,,,0.006611404940485954,0.014338693581521511,0.09728944301605225,0.4089074730873108,1024.0,4096.0,0.059107052257737186,0.09544270485639572,0.0010675687808543444,0.33618233618233617,0.7662337662337663,0.09693282842636108,30.289306640625,0.4154903292655945,0.035933393985033035
delta,3d_spatial_arm_circle_n3,173,0.2640092670917511,0.019039664417505264,0.019039664417505264,,,0.023744719102978706,0.04245004802942276,0.24026453495025635,0.5952713489532471,1024.0,4096.0,0.024724602203182375,0.23394541442394257,6.727781874360517e-05,0.019417475728155338,0.18181818181818182,0.24013033509254456,29.0751953125,0.2800007462501526,0.0007970354054123163
delta,3d_spatial_arm_circle_n3,271,0.164649099111557,0.04221602901816368,0.04221602901816368,,,0.016962982714176178,0.027895310893654823,0.14768612384796143,0.2910090684890747,1024.0,4096.0,0.04282917278511992,0.22154860198497772,0.00030599412275478244,0.03314917127071823,0.6,0.14748798310756683,29.001953125,0.19645220041275024,0.0005308741820044816
delta,3d_spatial_arm_circle_n3,509,0.16988806426525116,0.026296908035874367,0.026296908035874367,,,0.019573891535401344,0.030291210860013962,0.15031416714191437,0.3241167664527893,1024.0,4096.0,0.030837004405286344,0.2006339132785797,0.00014890304009895772,0.03816793893129771,0.5,0.1501009464263916,29.00634765625,0.1977391391992569,0.0008922405540943146
delta,3d_spatial_arm_circle_n3,877,0.13078734278678894,0.02394445240497589,0.02394445240497589,,,0.01139874942600727,0.01774921640753746,0.11938858777284622,0.24332042038440704,1024.0,4096.0,0.021047479197258932,0.20119230449199677,0.00011493938654894009,0.044444444444444446,0.4,0.11903131008148193,29.00634765625,0.16714486479759216,0.00031529838452115655
delta,3d_spatial_arm_circle_n3,1123,0.22982509434223175,0.034418217837810516,0.034418217837810516,,,0.019428787752985954,0.034466151148080826,0.21039630472660065,0.4496605396270752,1024.0,4096.0,0.04185022026431718,0.2783653438091278,0.0002903768909163773,0.028409090909090908,0.5,0.21021400392055511,29.00927734375,0.2586265504360199,0.0008050439064390957
