[run] method=delta dataset=2d_discontinuous seed=173
[train] method=delta ep=1850/2000 | lr=3.00e-04 | loss=0.040968 | on=0.008207 | off=0.010920
[train] method=delta ep=1900/2000 | lr=3.00e-04 | loss=0.030270 | on=0.008172 | off=0.007366
[train] method=delta ep=1950/2000 | lr=3.00e-04 | loss=0.038928 | on=0.007825 | off=0.010368
[train] method=delta ep=2000/2000 | lr=3.00e-04 | loss=0.026452 | on=0.008174 | off=0.006092
[eval] 2d_hetero_noise | proj_dist=0.186287 | pred_recall=0.877814 | pred_FPrate=0.172523 | chamfer=0.258150 | gt->learned=0.071383 | learned->gt=0.186767 | space=data_space
[done] method=delta dataset=2d_hetero_noise seed=173 proj_dist=0.186287 recall=0.877814 FPrate=0.172523
[run] method=delta dataset=2d_looped_spiro seed=173
[train] method=delta ep=   1/2000 | lr=3.00e-04 | loss=0.153200 | on=0.007764 | off=0.048479
[train] method=delta ep=  50/2000 | lr=3.00e-04 | loss=0.145083 | on=0.036696 | off=0.036129
[train] method=delta ep= 100/2000 | lr=3.00e-04 | loss=0.140613 | on=0.031131 | off=0.036494
[train] method=delta ep= 150/2000 | lr=3.00e-04 | loss=0.147558 | on=0.027875 | off=0.039894
[train] method=delta ep= 200/2000 | lr=3.00e-04 | loss=0.135061 | on=0.029765 | off=0.035099
[train] method=delta ep= 250/2000 | lr=3.00e-04 | loss=0.132181 | on=0.037174 | off=0.031669
[train] method=delta ep= 300/2000 | lr=3.00e-04 | loss=0.149144 | on=0.032635 | off=0.038837
[train] method=delta ep= 350/2000 | lr=3.00e-04 | loss=0.144274 | on=0.027150 | off=0.039041
[train] method=delta ep= 400/2000 | lr=3.00e-04 | loss=0.124678 | on=0.028663 | off=0.032005
[train] method=delta ep= 450/2000 | lr=3.00e-04 | loss=0.095623 | on=0.025165 | off=0.023486
[train] method=delta ep= 500/2000 | lr=3.00e-04 | loss=0.084754 | on=0.027361 | off=0.019131
[train] method=delta ep= 550/2000 | lr=3.00e-04 | loss=0.085174 | on=0.027914 | off=0.019087
[train] method=delta ep= 600/2000 | lr=3.00e-04 | loss=0.118863 | on=0.018949 | off=0.033305
[train] method=delta ep= 650/2000 | lr=3.00e-04 | loss=0.088648 | on=0.023905 | off=0.021581
[train] method=delta ep= 700/2000 | lr=3.00e-04 | loss=0.095569 | on=0.020936 | off=0.024878
[train] method=delta ep= 750/2000 | lr=3.00e-04 | loss=0.080411 | on=0.019987 | off=0.020141
[train] method=delta ep= 800/2000 | lr=3.00e-04 | loss=0.073081 | on=0.016695 | off=0.018795
[train] method=delta ep= 850/2000 | lr=3.00e-04 | loss=0.072228 | on=0.017283 | off=0.018315
[train] method=delta ep= 900/2000 | lr=3.00e-04 | loss=0.068996 | on=0.016276 | off=0.017573
[train] method=delta ep= 950/2000 | lr=3.00e-04 | loss=0.064792 | on=0.022095 | off=0.014232
[train] method=delta ep=1000/2000 | lr=3.00e-04 | loss=0.067693 | on=0.019025 | off=0.016222
[train] method=delta ep=1050/2000 | lr=3.00e-04 | loss=0.066711 | on=0.016855 | off=0.016618
[train] method=delta ep=1100/2000 | lr=3.00e-04 | loss=0.054679 | on=0.013835 | off=0.013615
[train] method=delta ep=1150/2000 | lr=3.00e-04 | loss=0.064349 | on=0.014605 | off=0.016581
[train] method=delta ep=1200/2000 | lr=3.00e-04 | loss=0.069810 | on=0.016970 | off=0.017613
[train] method=delta ep=1250/2000 | lr=3.00e-04 | loss=0.057074 | on=0.014311 | off=0.014255
[train] method=delta ep=1300/2000 | lr=3.00e-04 | loss=0.056632 | on=0.013796 | off=0.014279
[train] method=delta ep=1350/2000 | lr=3.00e-04 | loss=0.068587 | on=0.011101 | off=0.019162
[train] method=delta ep=1400/2000 | lr=3.00e-04 | loss=0.060248 | on=0.012161 | off=0.016029
[train] method=delta ep=1450/2000 | lr=3.00e-04 | loss=0.044962 | on=0.012104 | off=0.010953
[train] method=delta ep=1500/2000 | lr=3.00e-04 | loss=0.054139 | on=0.013918 | off=0.013407
[train] method=delta ep=1550/2000 | lr=3.00e-04 | loss=0.055773 | on=0.010675 | off=0.015033
[train] method=delta ep=1600/2000 | lr=3.00e-04 | loss=0.056144 | on=0.014794 | off=0.013783
[train] method=delta ep=1650/2000 | lr=3.00e-04 | loss=0.051164 | on=0.012696 | off=0.012823
[train] method=delta ep=1700/2000 | lr=3.00e-04 | loss=0.063642 | on=0.013159 | off=0.016828
[train] method=delta ep=1750/2000 | lr=3.00e-04 | loss=0.066240 | on=0.011513 | off=0.018242
[train] method=delta ep=1800/2000 | lr=3.00e-04 | loss=0.041115 | on=0.009817 | off=0.010433
[train] method=delta ep=1850/2000 | lr=3.00e-04 | loss=0.057529 | on=0.008676 | off=0.016284
[train] method=delta ep=1900/2000 | lr=3.00e-04 | loss=0.062913 | on=0.008407 | off=0.018169
[train] method=delta ep=1950/2000 | lr=3.00e-04 | loss=0.054128 | on=0.007667 | off=0.015487
[train] method=delta ep=2000/2000 | lr=3.00e-04 | loss=0.054676 | on=0.009612 | off=0.015021
[eval] 2d_looped_spiro | proj_dist=0.130537 | pred_recall=0.863057 | pred_FPrate=0.242993 | chamfer=0.204919 | gt->learned=0.074060 | learned->gt=0.130859 | space=data_space
[done] method=delta dataset=2d_looped_spiro seed=173 proj_dist=0.130537 recall=0.863057 FPrate=0.242993
[run] method=delta dataset=2d_noisy_sine seed=173
[train] method=delta ep=   1/2000 | lr=3.00e-04 | loss=0.217371 | on=0.008759 | off=0.069537
[train] method=delta ep=  50/2000 | lr=3.00e-04 | loss=0.169990 | on=0.031281 | off=0.046236
[train] method=delta ep= 100/2000 | lr=3.00e-04 | loss=0.136519 | on=0.023577 | off=0.037647
[train] method=delta ep= 150/2000 | lr=3.00e-04 | loss=0.141441 | on=0.023509 | off=0.039311
[train] method=delta ep= 200/2000 | lr=3.00e-04 | loss=0.163908 | on=0.025435 | off=0.046158
[train] method=delta ep= 250/2000 | lr=3.00e-04 | loss=0.164248 | on=0.021160 | off=0.047696
[train] method=delta ep= 300/2000 | lr=3.00e-04 | loss=0.117573 | on=0.026629 | off=0.030315
[train] method=delta ep= 350/2000 | lr=3.00e-04 | loss=0.132538 | on=0.022685 | off=0.036618
[train] method=delta ep= 400/2000 | lr=3.00e-04 | loss=0.105600 | on=0.031651 | off=0.024650
[train] method=delta ep= 450/2000 | lr=3.00e-04 | loss=0.109055 | on=0.025862 | off=0.027731
[train] method=delta ep= 500/2000 | lr=3.00e-04 | loss=0.102161 | on=0.016011 | off=0.028717
[train] method=delta ep= 550/2000 | lr=3.00e-04 | loss=0.071721 | on=0.015022 | off=0.018900
[train] method=delta ep= 600/2000 | lr=3.00e-04 | loss=0.069123 | on=0.019865 | off=0.016419
[train] method=delta ep= 650/2000 | lr=3.00e-04 | loss=0.070240 | on=0.017823 | off=0.017472
[train] method=delta ep= 700/2000 | lr=3.00e-04 | loss=0.057495 | on=0.016113 | off=0.013794
[train] method=delta ep= 750/2000 | lr=3.00e-04 | loss=0.052487 | on=0.013161 | off=0.013109
[train] method=delta ep= 800/2000 | lr=3.00e-04 | loss=0.058821 | on=0.008416 | off=0.016802
[train] method=delta ep= 850/2000 | lr=3.00e-04 | loss=0.034253 | on=0.006998 | off=0.009085
[train] method=delta ep= 900/2000 | lr=3.00e-04 | loss=0.036913 | on=0.007692 | off=0.009740
[train] method=delta ep= 950/2000 | lr=3.00e-04 | loss=0.032315 | on=0.010797 | off=0.007173
[train] method=delta ep=1000/2000 | lr=3.00e-04 | loss=0.032904 | on=0.005650 | off=0.009085
[train] method=delta ep=1050/2000 | lr=3.00e-04 | loss=0.030064 | on=0.007467 | off=0.007532
[train] method=delta ep=1100/2000 | lr=3.00e-04 | loss=0.031132 | on=0.006625 | off=0.008169
[train] method=delta ep=1150/2000 | lr=3.00e-04 | loss=0.039341 | on=0.007970 | off=0.010457
[train] method=delta ep=1200/2000 | lr=3.00e-04 | loss=0.036580 | on=0.003607 | off=0.010991
[train] method=delta ep=1250/2000 | lr=3.00e-04 | loss=0.031332 | on=0.006261 | off=0.008357
[train] method=delta ep=1300/2000 | lr=3.00e-04 | loss=0.031198 | on=0.010215 | off=0.006994
[train] method=delta ep=1350/2000 | lr=3.00e-04 | loss=0.039202 | on=0.006530 | off=0.010891
[train] method=delta ep=1400/2000 | lr=3.00e-04 | loss=0.028182 | on=0.007647 | off=0.006845
[train] method=delta ep=1450/2000 | lr=3.00e-04 | loss=0.027602 | on=0.005431 | off=0.007390
[train] method=delta ep=1500/2000 | lr=3.00e-04 | loss=0.028263 | on=0.006675 | off=0.007196
[train] method=delta ep=1550/2000 | lr=3.00e-04 | loss=0.029189 | on=0.009880 | off=0.006436
[train] method=delta ep=1600/2000 | lr=3.00e-04 | loss=0.026689 | on=0.006248 | off=0.006814
[train] method=delta ep=1650/2000 | lr=3.00e-04 | loss=0.026251 | on=0.008120 | off=0.006044
[train] method=delta ep=1700/2000 | lr=3.00e-04 | loss=0.027176 | on=0.005215 | off=0.007321
[train] method=delta ep=1750/2000 | lr=3.00e-04 | loss=0.034830 | on=0.004260 | off=0.010190
[train] method=delta ep=1800/2000 | lr=3.00e-04 | loss=0.025725 | on=0.007974 | off=0.005917
[train] method=delta ep=1850/2000 | lr=3.00e-04 | loss=0.029436 | on=0.006521 | off=0.007639
[train] method=delta ep=1900/2000 | lr=3.00e-04 | loss=0.030509 | on=0.006893 | off=0.007872
[train] method=delta ep=1950/2000 | lr=3.00e-04 | loss=0.032473 | on=0.005375 | off=0.009032
[train] method=delta ep=2000/2000 | lr=3.00e-04 | loss=0.027345 | on=0.005548 | off=0.007266
