[run] method=delta dataset=2d_ellipse seed=173
[train] method=delta ep= 200/2000 | lr=3.00e-04 | loss=0.374121 | on=0.051194 | off=0.032293
[train] method=delta ep= 250/2000 | lr=3.00e-04 | loss=0.326987 | on=0.045467 | off=0.028152
[train] method=delta ep= 300/2000 | lr=3.00e-04 | loss=0.342179 | on=0.058455 | off=0.028372
[train] method=delta ep= 350/2000 | lr=3.00e-04 | loss=0.324200 | on=0.040019 | off=0.028418
[train] method=delta ep= 400/2000 | lr=3.00e-04 | loss=0.350947 | on=0.040842 | off=0.031011
[train] method=delta ep= 450/2000 | lr=3.00e-04 | loss=0.367562 | on=0.045028 | off=0.032253
[train] method=delta ep= 500/2000 | lr=3.00e-04 | loss=0.320025 | on=0.042237 | off=0.027779
[train] method=delta ep= 550/2000 | lr=3.00e-04 | loss=0.318285 | on=0.037660 | off=0.028062
[train] method=delta ep= 600/2000 | lr=3.00e-04 | loss=0.271869 | on=0.030462 | off=0.024141
[train] method=delta ep= 650/2000 | lr=3.00e-04 | loss=0.360895 | on=0.030155 | off=0.033074
[train] method=delta ep= 700/2000 | lr=3.00e-04 | loss=0.267009 | on=0.028853 | off=0.023816
[train] method=delta ep= 750/2000 | lr=3.00e-04 | loss=0.319570 | on=0.025903 | off=0.029367
[train] method=delta ep= 800/2000 | lr=3.00e-04 | loss=0.206984 | on=0.033793 | off=0.017319
[train] method=delta ep= 850/2000 | lr=3.00e-04 | loss=0.207853 | on=0.026213 | off=0.018164
[train] method=delta ep= 900/2000 | lr=3.00e-04 | loss=0.322967 | on=0.019850 | off=0.030312
[train] method=delta ep= 950/2000 | lr=3.00e-04 | loss=0.151264 | on=0.021101 | off=0.013016
[train] method=delta ep=1000/2000 | lr=3.00e-04 | loss=0.109394 | on=0.023603 | off=0.008579
[train] method=delta ep=1050/2000 | lr=3.00e-04 | loss=0.221479 | on=0.026533 | off=0.019495
[train] method=delta ep=1100/2000 | lr=3.00e-04 | loss=0.150626 | on=0.032152 | off=0.011847
[train] method=delta ep=1150/2000 | lr=3.00e-04 | loss=0.142243 | on=0.027275 | off=0.011497
[train] method=delta ep=1200/2000 | lr=3.00e-04 | loss=0.083867 | on=0.014700 | off=0.006917
[train] method=delta ep=1250/2000 | lr=3.00e-04 | loss=0.079787 | on=0.022964 | off=0.005682
[train] method=delta ep=1300/2000 | lr=3.00e-04 | loss=0.118290 | on=0.017818 | off=0.010047
[train] method=delta ep=1350/2000 | lr=3.00e-04 | loss=0.084017 | on=0.009443 | off=0.007457
[train] method=delta ep=1400/2000 | lr=3.00e-04 | loss=0.063690 | on=0.015118 | off=0.004857
[train] method=delta ep=1450/2000 | lr=3.00e-04 | loss=0.106252 | on=0.020674 | off=0.008558
[train] method=delta ep=1500/2000 | lr=3.00e-04 | loss=0.057834 | on=0.010988 | off=0.004685
[train] method=delta ep=1550/2000 | lr=3.00e-04 | loss=0.072841 | on=0.014602 | off=0.005824
[train] method=delta ep=1600/2000 | lr=3.00e-04 | loss=0.070716 | on=0.011455 | off=0.005926
[train] method=delta ep=1650/2000 | lr=3.00e-04 | loss=0.071767 | on=0.018593 | off=0.005317
[train] method=delta ep=1700/2000 | lr=3.00e-04 | loss=0.070008 | on=0.016072 | off=0.005394
[train] method=delta ep=1750/2000 | lr=3.00e-04 | loss=0.119131 | on=0.014645 | off=0.010449
[train] method=delta ep=1800/2000 | lr=3.00e-04 | loss=0.060690 | on=0.010769 | off=0.004992
[train] method=delta ep=1850/2000 | lr=3.00e-04 | loss=0.091237 | on=0.016748 | off=0.007449
[train] method=delta ep=1900/2000 | lr=3.00e-04 | loss=0.074364 | on=0.008787 | off=0.006558
[train] method=delta ep=1950/2000 | lr=3.00e-04 | loss=0.076627 | on=0.012286 | off=0.006434
[train] method=delta ep=2000/2000 | lr=3.00e-04 | loss=0.064213 | on=0.011596 | off=0.005262
[eval] 2d_sparse_sine | proj_dist=0.027332 | pred_recall=0.792500 | pred_FPrate=0.086310 | chamfer=0.228914 | gt->learned=0.200334 | learned->gt=0.028579 | space=data_space
[done] method=delta dataset=2d_sparse_sine seed=173 proj_dist=0.027332 recall=0.792500 FPrate=0.086310
[run] method=delta dataset=2d_square seed=173
[train] method=delta ep=   1/2000 | lr=3.00e-04 | loss=0.916051 | on=0.007652 | off=0.090840
[train] method=delta ep=  50/2000 | lr=3.00e-04 | loss=0.478973 | on=0.056758 | off=0.042221
[train] method=delta ep= 100/2000 | lr=3.00e-04 | loss=0.348258 | on=0.055923 | off=0.029233
[train] method=delta ep= 150/2000 | lr=3.00e-04 | loss=0.408411 | on=0.050680 | off=0.035773
[train] method=delta ep= 200/2000 | lr=3.00e-04 | loss=0.477892 | on=0.046742 | off=0.043115
[train] method=delta ep= 250/2000 | lr=3.00e-04 | loss=0.419650 | on=0.054197 | off=0.036545
[train] method=delta ep= 300/2000 | lr=3.00e-04 | loss=0.438222 | on=0.038677 | off=0.039955
[train] method=delta ep= 350/2000 | lr=3.00e-04 | loss=0.417192 | on=0.049481 | off=0.036771
[train] method=delta ep= 400/2000 | lr=3.00e-04 | loss=0.363512 | on=0.051013 | off=0.031250
[train] method=delta ep= 450/2000 | lr=3.00e-04 | loss=0.332879 | on=0.031820 | off=0.030106
[train] method=delta ep= 500/2000 | lr=3.00e-04 | loss=0.229461 | on=0.037115 | off=0.019235
[train] method=delta ep= 550/2000 | lr=3.00e-04 | loss=0.169522 | on=0.030896 | off=0.013863
[train] method=delta ep= 600/2000 | lr=3.00e-04 | loss=0.153602 | on=0.025939 | off=0.012766
[train] method=delta ep= 650/2000 | lr=3.00e-04 | loss=0.129397 | on=0.021788 | off=0.010761
[train] method=delta ep= 700/2000 | lr=3.00e-04 | loss=0.110056 | on=0.013288 | off=0.009677
[train] method=delta ep= 750/2000 | lr=3.00e-04 | loss=0.116288 | on=0.012061 | off=0.010423
[train] method=delta ep= 800/2000 | lr=3.00e-04 | loss=0.099066 | on=0.014175 | off=0.008489
[train] method=delta ep= 850/2000 | lr=3.00e-04 | loss=0.086725 | on=0.014173 | off=0.007255
[train] method=delta ep= 900/2000 | lr=3.00e-04 | loss=0.059326 | on=0.010043 | off=0.004928
[train] method=delta ep= 950/2000 | lr=3.00e-04 | loss=0.069694 | on=0.010086 | off=0.005961
[train] method=delta ep=1000/2000 | lr=3.00e-04 | loss=0.061822 | on=0.011011 | off=0.005081
[train] method=delta ep=1050/2000 | lr=3.00e-04 | loss=0.061722 | on=0.010485 | off=0.005124
[train] method=delta ep=1100/2000 | lr=3.00e-04 | loss=0.052949 | on=0.011008 | off=0.004194
[train] method=delta ep=1150/2000 | lr=3.00e-04 | loss=0.067510 | on=0.008635 | off=0.005887
[train] method=delta ep=1200/2000 | lr=3.00e-04 | loss=0.057135 | on=0.009597 | off=0.004754
[train] method=delta ep=1250/2000 | lr=3.00e-04 | loss=0.053069 | on=0.013263 | off=0.003981
[train] method=delta ep=1300/2000 | lr=3.00e-04 | loss=0.056835 | on=0.010009 | off=0.004683
[train] method=delta ep=1350/2000 | lr=3.00e-04 | loss=0.062139 | on=0.008998 | off=0.005314
[train] method=delta ep=1400/2000 | lr=3.00e-04 | loss=0.070611 | on=0.009299 | off=0.006131
[train] method=delta ep=1450/2000 | lr=3.00e-04 | loss=0.052617 | on=0.009247 | off=0.004337
