[run] method=delta dataset=3d_planar_arm_line_n3 seed=173
[train] method=delta ep= 450/2000 | lr=3.00e-04 | loss=0.012115 | on=0.000900 | off=0.037380
[train] method=delta ep= 500/2000 | lr=3.00e-04 | loss=0.009208 | on=0.000418 | off=0.029300
[train] method=delta ep= 550/2000 | lr=3.00e-04 | loss=0.014964 | on=0.000586 | off=0.047925
[train] method=delta ep= 600/2000 | lr=3.00e-04 | loss=0.008903 | on=0.000395 | off=0.028359
[train] method=delta ep= 650/2000 | lr=3.00e-04 | loss=0.013795 | on=0.000544 | off=0.044170
[train] method=delta ep= 700/2000 | lr=3.00e-04 | loss=0.011125 | on=0.000508 | off=0.035389
[train] method=delta ep= 750/2000 | lr=3.00e-04 | loss=0.007142 | on=0.000527 | off=0.022050
[train] method=delta ep= 800/2000 | lr=3.00e-04 | loss=0.010612 | on=0.000318 | off=0.034312
[train] method=delta ep= 850/2000 | lr=3.00e-04 | loss=0.008148 | on=0.000462 | off=0.025620
[train] method=delta ep= 900/2000 | lr=3.00e-04 | loss=0.009533 | on=0.000423 | off=0.030366
[train] method=delta ep= 950/2000 | lr=3.00e-04 | loss=0.005582 | on=0.000357 | off=0.017417
[train] method=delta ep=1000/2000 | lr=3.00e-04 | loss=0.008275 | on=0.000437 | off=0.026125
[train] method=delta ep=1050/2000 | lr=3.00e-04 | loss=0.007016 | on=0.000398 | off=0.022062
[train] method=delta ep=1100/2000 | lr=3.00e-04 | loss=0.006724 | on=0.000388 | off=0.021118
[train] method=delta ep=1150/2000 | lr=3.00e-04 | loss=0.005713 | on=0.000371 | off=0.017808
[train] method=delta ep=1200/2000 | lr=3.00e-04 | loss=0.008449 | on=0.000508 | off=0.026468
[train] method=delta ep=1250/2000 | lr=3.00e-04 | loss=0.005765 | on=0.000487 | off=0.017593
[train] method=delta ep=1300/2000 | lr=3.00e-04 | loss=0.006819 | on=0.000326 | off=0.021645
[train] method=delta ep=1350/2000 | lr=3.00e-04 | loss=0.010464 | on=0.000355 | off=0.033698
[train] method=delta ep=1400/2000 | lr=3.00e-04 | loss=0.006907 | on=0.000385 | off=0.021740
[train] method=delta ep=1450/2000 | lr=3.00e-04 | loss=0.010798 | on=0.000451 | off=0.034491
[train] method=delta ep=1500/2000 | lr=3.00e-04 | loss=0.005811 | on=0.000391 | off=0.018065
[train] method=delta ep=1550/2000 | lr=3.00e-04 | loss=0.005057 | on=0.000376 | off=0.015602
[train] method=delta ep=1600/2000 | lr=3.00e-04 | loss=0.007878 | on=0.000395 | off=0.024945
[train] method=delta ep=1650/2000 | lr=3.00e-04 | loss=0.008783 | on=0.000364 | off=0.028064
[train] method=delta ep=1700/2000 | lr=3.00e-04 | loss=0.005041 | on=0.000311 | off=0.015767
[train] method=delta ep=1750/2000 | lr=3.00e-04 | loss=0.003991 | on=0.000410 | off=0.011937
[train] method=delta ep=1800/2000 | lr=3.00e-04 | loss=0.008051 | on=0.000333 | off=0.025727
[train] method=delta ep=1850/2000 | lr=3.00e-04 | loss=0.011686 | on=0.000970 | off=0.035722
[train] method=delta ep=1900/2000 | lr=3.00e-04 | loss=0.006605 | on=0.000580 | off=0.020085
[train] method=delta ep=1950/2000 | lr=3.00e-04 | loss=0.010382 | on=0.000372 | off=0.033368
[train] method=delta ep=2000/2000 | lr=3.00e-04 | loss=0.006039 | on=0.000288 | off=0.019167
[eval] 3d_vz_2d_ellipse | proj_dist=0.197628 | pred_recall=0.533333 | pred_FPrate=0.031972 | chamfer=0.225735 | gt->learned=0.027862 | learned->gt=0.197873 | space=data_space
[done] method=delta dataset=3d_vz_2d_ellipse seed=173 proj_dist=0.197628 recall=0.533333 FPrate=0.031972
[saved] /home/baiyu/PycharmProjects/equality_manofld/outputs_unified/sweeps/delta_all_3d/sweep_summary_delta_seed173.json
[sweep] method=delta avg_metrics=18 over cases=6
