[run] method=delta dataset=2d_ellipse seed=173
[train] method=delta ep= 850/2000 | lr=3.00e-04 | loss=0.187801 | on=0.020761 | off=0.016704
[train] method=delta ep= 900/2000 | lr=3.00e-04 | loss=0.129358 | on=0.021061 | off=0.010830
[train] method=delta ep= 950/2000 | lr=3.00e-04 | loss=0.116394 | on=0.017963 | off=0.009843
[train] method=delta ep=1000/2000 | lr=3.00e-04 | loss=0.141377 | on=0.019653 | off=0.012172
[train] method=delta ep=1050/2000 | lr=3.00e-04 | loss=0.151466 | on=0.020365 | off=0.013110
[train] method=delta ep=1100/2000 | lr=3.00e-04 | loss=0.183423 | on=0.018765 | off=0.016466
[train] method=delta ep=1150/2000 | lr=3.00e-04 | loss=0.146463 | on=0.016485 | off=0.012998
[train] method=delta ep=1200/2000 | lr=3.00e-04 | loss=0.131562 | on=0.018741 | off=0.011282
[train] method=delta ep=1250/2000 | lr=3.00e-04 | loss=0.099211 | on=0.014297 | off=0.008491
[train] method=delta ep=1300/2000 | lr=3.00e-04 | loss=0.083148 | on=0.010052 | off=0.007310
[train] method=delta ep=1350/2000 | lr=3.00e-04 | loss=0.068279 | on=0.010156 | off=0.005812
[train] method=delta ep=1400/2000 | lr=3.00e-04 | loss=0.079877 | on=0.009475 | off=0.007040
[train] method=delta ep=1450/2000 | lr=3.00e-04 | loss=0.073689 | on=0.010239 | off=0.006345
[train] method=delta ep=1500/2000 | lr=3.00e-04 | loss=0.080993 | on=0.011607 | off=0.006939
[train] method=delta ep=1550/2000 | lr=3.00e-04 | loss=0.083793 | on=0.009846 | off=0.007395
[train] method=delta ep=1600/2000 | lr=3.00e-04 | loss=0.082563 | on=0.008442 | off=0.007412
[train] method=delta ep=1650/2000 | lr=3.00e-04 | loss=0.087043 | on=0.009335 | off=0.007771
[train] method=delta ep=1700/2000 | lr=3.00e-04 | loss=0.060900 | on=0.007894 | off=0.005301
[train] method=delta ep=1750/2000 | lr=3.00e-04 | loss=0.068243 | on=0.011377 | off=0.005687
[train] method=delta ep=1800/2000 | lr=3.00e-04 | loss=0.054835 | on=0.009113 | off=0.004572
[train] method=delta ep=1850/2000 | lr=3.00e-04 | loss=0.068321 | on=0.006491 | off=0.006183
[train] method=delta ep=1900/2000 | lr=3.00e-04 | loss=0.065595 | on=0.008684 | off=0.005691
[train] method=delta ep=1950/2000 | lr=3.00e-04 | loss=0.045890 | on=0.007049 | off=0.003884
[train] method=delta ep=2000/2000 | lr=3.00e-04 | loss=0.050890 | on=0.007632 | off=0.004326
